"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Revista CEPAL","Abierto","Completo","Revistas  , Publicaciones Oficiales","338.98/R4542 Más información"
"Revista COFACTOR","Abierto","Completo","Revistas","Más información"
"Revista de Demografía Histórica","Abierto","Completo","Revistas","Más información"
"Revista Mexicana de Sociología","Abierto","Completo","Revistas","309.172/R454  Más información"
"Revistas de El Colegio de México","Cerrado","Completo","Revistas","Más información"
"Sage Research Methods Online (SRMO)","Cerrado","Parcial","Documentos de Trabajo  , Artículos de Revistas","Más información"
"SciELO  Scientific electronic library online","Cerrado","Parcial","Revistas","Más información"
"ScienceDirect","Cerrado","Parcial","Revistas","Más información"
"Scopus","Cerrado","Referencia","Bibliografía","Más información"
"SERIUNAM","Abierto","Referencia","Revistas","Más información"
"Sistema Nacional de Información Estadística y Geográfica","Abierto","Parcial","Información Geográfica  , Estadísticas","Más información"
"Social Sciences Full Text (H.W. Wilson)","Cerrado","Parcial","Revistas","Más información"
"Social services abstracts","Cerrado","Parcial","Revistas","RE/016.361 Más información"
"SourceOECD","Abierto","Parcial","Revistas  , Libros Electrónicos","Más información"
"Springer eBooks (Recurso contratado por CONRICyT)","Cerrado","Completo","Libros Electrónicos","Más información"
"Springer Link","Cerrado","Completo","Libros Electrónicos  , Revistas","Más información"
"SpringerLink journals (Recurso contratado por CONRICyT)","Cerrado","Completo","Revistas","Más información"
"Studies in Family Planning","Cerrado","Completo","Revistas","301.426/S933 Más información"
"Tablas de contenido y revistas en texto completo","Cerrado","Parcial","Revistas","Más información"
"Taylor & Francis (Recurso contratado por CONRICyT)","Cerrado","Completo","Revistas","Más información"
"Tesauro de POPIN: tesauro multilingüe sobre población","Abierto","Completo","Libros Electrónicos","Más información"
"Tesauro del UNBIS","Abierto","Completo","Corpus","Más información"
"Tesis COLMEX","Abierto","Completo","Biblioteca Digital","Más información"
"The DHS Program","Cerrado","Parcial","Centro de Investigación  , Documentos de Trabajo...","Más información"
"The Online Books Page","Cerrado","Parcial","Biblioteca Digital","Más información"
"U.S. Census Bureau","Abierto","Parcial","Publicaciones Oficiales  , Estadísticas","Más información"
"UNdata","Abierto","Completo","Información Geográfica  , Estadísticas","Más información"
"University of Pittsburgh Press Digital Editions","Abierto","Completo","Biblioteca Digital","Más información"
"Vienna Institute of Demography","Abierto","Completo","Documentos de Trabajo  , Centro de Investigación","Más información"
"Washington Post, The","Abierto","Parcial","Periódicos","Más información"
"Web of science","Cerrado","Referencia","Revistas  , Reseñas","Más información"
"Wiley InterScience","Cerrado","Completo","Revistas  , Reseñas","Más información"
"Wiley Online Library","Cerrado","Completo","Reseñas","Más información"
"World DataBank","Abierto","Parcial","Estadísticas","Más información"
"Worldcat","Cerrado","Parcial","Catálogos de Bibliotecas","Más información"
