Título,Recurso físicamente en la Biblioteca,Recurso desarrollado por el COLMEX,Acceso(URL),Tipo de Información que contiene,Tipo de Recurso,Tipo de Acceso,Título alterno,Autor/Productor,Fecha de última actualización,Idioma,Recurso de interés para,Área Temática COLMEX,Área Geográfica seleccionadas,Temas,Descripción/Notas,Contiene recursos en texto completo,Fecha de consulta,Fecha de captura,Clasificación Dewey en BDCV,Recurso en Guías por Tema y Área,Guías donde se destaca,Agregado por,Archivo(URL),Cobertura,CID
"Biblioteca Digital del Patrimonio Iberoamericano","no","N/A","http://www.iberoamericadigital.net/gdl/?idxTab=0","N/A","Base de Datos","Abierto","N/A","Otros","2013-00-00","Español","CELL  , CEH","Literatura  , Historia","N/A","Bibliotecas nacionales ; Recursos en Internet ; Iberoamérica","|Es un proyecto de la Asociación de Bibliotecas Nacionales de Iberoamérica (ABINIA) que tiene como objetivo la creación de un portal que permita el acceso desde un único punto de consulta a los recursos digitales de todas las Bibliotecas participantes|. Incluye las siguientes colecciones: Geografía y viajes, prensa y revistas, música, cuentos y leyendas.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca Digital Hispánica","no","N/A","http://www.bne.es/es/Catalogos/BibliotecaDigitalHispanica/Inicio/index.html","N/A","Base de Datos","Abierto","N/A","Otros","2015-00-00","Español","General","Filosofía  , Historia  , Lingüística  , Literatura  , Religión","N/A","N/A","N/A","N/A","2014-10-24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca digital hispánica (BNE)","no","N/A","http://bdh.bne.es/bnesearch/","N/A","Video digital  , Libro electrónico","Abierto","N/A","Otros","2014-00-00","Español","CEH","Historia","N/A","Biblioteca Nacional de España ; Bibliotecas digitales","Proporciona acceso al un gran número de documentos digitalizados. Incluye: carteles, dibujos, folletos, fotografías, grabados, libros impresos (siglos XV al XIX), manuscritos, mapas y atlas. El contenido está organizado en colecciones y subcolecciones de manera temática además de poderse seleccionar por tipo de documentos.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca Digital INFONAVIT","no","N/A","http://portal.infonavit.org.mx/wps/wcm/connect/infonavit/el+instituto/biblioteca/biblioteca_digital_infonavit","N/A","Libro electrónico","Abierto","N/A","Otros","2016","Español","CEDUA","Estudios Urbanos","N/A","Vivienda--México ; Política de vivienda ; Política de vivienda ; Participación ciudadana","Desde el Catálogo en línea podrás consultar y descargar versiones digitales en formato PDF de ejemplares provenientes de la Colección Infonavit. Esta colección se integra por:
Más de 780 títulos de libros y folletos editados por el Instituto.
Revista Informavit, publicada de 1974 a 2006.
Revista Vivienda, publicada de 1975 a 1994.
Normatividad Operativa Histórica (Nohi), fondo documental histórico con más de mil circulares, 455 manuales de procedimientos y de organización.","N/A","2016-12-14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca Digital Mexicana","no","N/A","http://bdmx.mx/","N/A","Sitio Web","Abierto","N/A","Otros","N/A","Español","CEH  , CEI","Ciencia Política  , Historia","N/A","México -- Historia; Indios -- Lenguas","|La Biblioteca Digital Mexicana, BDMx, nace el 23 de noviembre de 2010 por decisión de cuatro importantes instituciones culturales mexicanas ligadas a la historia y a la cultura: el Archivo General de la Nación, La Biblioteca Nacional de Antropología e Historia (INAH),  el Centro de Estudios de Historia de México CEHM- Carso, y el Consejo Nacional para la Cultura y las Artes.

Estas instituciones decidieron unir esfuerzos para crear una biblioteca digital multi-institucional mexicana: aportarán documentos históricos y culturales relevantes de sus fondos, e invitarán a las numerosas bibliotecas y archivos mexicanos, y a los extranjeros que tengan importante documentación mexicana, a unirse a este esfuerzo aportando igualmente materiales.|","N/A","2016-03-28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca digital mundial","no","N/A","http://www.wdl.org/es/","N/A","Sitio Web","Abierto","N/A","Naciones Unidas","2014-00-00","Español","CEAA  , CEDUA  , CEE  , CEH  , CEI  , CELL  , CES  , General","Administración Pública  , Artes  , Ciencia Política  , Demografía    , Economía   , Estudios de Género  , Estudios Urbanos   , Filosofía  , General (todos los centros)  , Historia  , Lingüística  , Literatura  , Relaciones Internacionales  , Religión  , Sociología","N/A","Bibliotecas digitales  ; Colecciones","Esfuerzo de las Naciones Unidas por compilar los documentos más representativos de cada región, con apoyo de diversas instituciones a nivel mundial. El sitio permite el acceso a documentos digitalizados de gran valor histórico tanto para los países de origen como para las instituciones que lo patrocinan.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca Digital Universitaria de la DGSCA","no","N/A","http://www.bibliotic.unam.mx/","N/A","Publicación periódica","Parcialmente Abierto","N/A","Otros","2010-00-00","Español","General","General (todos los centros)","N/A","Libros electrónicos ; Revistas electrónicas ; Ciencia y tecnología ; Computación","La Biblioteca Digital Universitaria BDU es una colección de libros en texto completo, disponible a través del web, con la finalidad de contribuir a las actividades académicas y de investigación de cualquier disciplina. La colección está formada por libros del acervo editorial UNAM y por revistas especializadas en ciencia y tecnología.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca digital. Universidad Iberoamericana","no","N/A","http://www.bib.uia.mx/sitio/indexbd.php","N/A","Sitio Web  , Libro electrónico  , Tesis","Abierto","N/A","Otros","N/A","Español","CEE  , CEH  , CEI  , CELL","Administración Pública  , Artes  , Ciencia Política  , Economía   , Filosofía  , Historia  , Literatura  , Relaciones Internacionales  , Religión","N/A","Universidad Iberoamericana ; Bibliotecas digitales","Ofrece acceso a varios recursos organizados por disciplinas académicas, fuentes de información sobre estilos bibliográficos, documentos institucionales, bases de datos, periódicos nacionales y enlaces a otras bibliotecas digitales.","N/A","2014-10-29","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca Jurídica Virtual","no","N/A","http://biblio.juridicas.unam.mx/","N/A","Base de Datos  , Libro electrónico","Abierto","N/A","Otros","2014-00-00","Español","CEE  , CEH  , CEI","Administración Pública  , Ciencia Política  , Economía   , Filosofía  , Historia  , Relaciones Internacionales","N/A","Derecho ; Bibliotecas digitales","La Biblioteca Jurídica Virtual es una colección de libros electrónicos, revistas y documentos de trabajo especializados en todas las ramas del derecho. En su construcción participan diferentes instituciones nacionales e internacionales que aportan documentos para la construcción de todo este paquete de información.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca Nacional de Antropología e Historia","no","N/A","http://www.bnah.inah.gob.mx/","N/A","Base de Datos","Abierto","N/A","Otros","2014-03-04","Español","CEH","Historia","N/A","Bibliotecas ; Antropología ; Historia ; Códices mexicanos","Página web del Consejo Nacional para la Cultura y las Artes donde aloja información sobre los fondos que contiene esta biblioteca y los servicios que proporciona, así como la red de bibliotecas del Instituto Nacional de Antropología e Historia.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca Nacional de España","no","N/A","http://www.bne.es/es/Inicio/index.html","N/A","N/A","Abierto","N/A","Otros","2014-00-00","N/A","N/A","N/A","N/A","Biblioteca Nacional de España ; Catálogos de bibliotecas","Portal de la Biblioteca Nacional de España que muestra los servicios y colecciones que preservan en su acervo. Muestra proyectos e iniciativas de exposiciones basadas en sus colecciones, así como proyectos de digitalización de fondos documentales.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca Nacional de México","no","N/A","http://bnm.unam.mx/","N/A","N/A","Abierto","N/A","Otros","2014-00-00","N/A","N/A","N/A","N/A","Biblioteca Nacional de México ; Catálogos de bibliotecas ; Bibliotecas nacionales","Portal de la Biblioteca Nacional de México que  presenta sus colecciones, acervos especiales, servicios, catálogo en línea, así como obras y eventos organizados por la biblioteca.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca Histórica José María Lafragua","no","N/A","http://www.lafragua.buap.mx/","N/A","Sitio Web  , Libro electrónico","Abierto","N/A","Otros","2012-00-00","Español","CEH  , CELL","Historia  , Literatura  , Religión","N/A","Bibliotecas digitales ; Memoria del mundo ; Libro antiguo","La Biblioteca histórica “José María Lafragua”, adscrita a la Vicerrectoría de Docencia de la Benemérita Universidad Autónoma de Puebla —institución pública de educación superior—, tiene bajo su custodia colecciones importantes de libros, documentos, periódicos y otros objetos patrimoniales de gran valor cultural, compilados durante un largo periodo de más de cuatros siglos y vinculados sustancialmente a las tareas de las instituciones educativas que, desde el siglo XVI con la fundación del Colegio del Espíritu Santo de la Compañía de Jesús (1587), se fueron encadenando hasta culminar en el presente con la Benemérita Universidad Autónoma de Puebla. Cuenta con libros digitalizados de sus fondos, así como fuentes primarias o detalles de libros como marcas de fuego.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca Virtual de Defensa","no","N/A","http://bibliotecavirtualdefensa.es/BVMDefensa/i18n/estaticos/contenido.cmd?pagina=estaticos/presentacion","N/A","Base de Datos","Abierto","N/A","Otros","N/A","Español","CEH","Historia","N/A","España ; América Latina ; Fuerzas armadas ; Historia ; Bibliotecas digitales","Ofrece la colección digital de fondos que custodia el Ministerio de Defensa (España) en sus archivos, bibliotecas y museos. Incluye códices, impresos, grabados, videograbaciones, fotografías, revistas, mapas y planos de Hispanoamérica, etc. Además, da acceso al repositorio institucional con las publicaciones del Ministerio. Ofrece motor de búsqueda e índices de contenido.","N/A","2015-06-30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca Virtual de Historia Constitucional |Francisco Martínez Marina|","no","N/A","http://www.bibliotecadehistoriaconstitucional.com/cgi-bin/library.cgi?site=localhost&a=p&p=about&c=bibliote&l=es&w=utf-8","N/A","Sitio Web","Abierto","N/A","Otros","N/A","Español","CEH","Historia","N/A","España ; Derecho constitucional","Dedicada a la historia constitucional. Preferentemente incluye textos españoles en dicha materia. Su contenido proviene principalmente de colecciones de la Biblioteca de la Universidad de Oviedo, así como de aportaciones privadas. Ofrece una herramienta de búsqueda general e índices por: autor, título, materia y cronológico.","N/A","2015-12-15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca Virtual de la Filología Española","no","N/A","http://www.bvfe.es/","N/A","Sitio Web","Abierto","N/A","Otros","N/A","Español","CELL","Lingüística","N/A","Filología española","Dirigido por Manuel Alvar Ezquerra. Ofrece |ejemplares digitalizados de más de doscientas bibliotecas virtuales de todo el mundo, así como del repositorio de obras digitalizadas de Google Books, HathiTrust, Internet Archive, Europeana, Digital Public Library of America (DPLA), etcétera|. Presenta las siguientes categorías: autores; diálogos; diccionarios y obras lexicográficas; gramáticas, tratados gramáticas e historia de la lengua; ortografía, ortología, prosodia y métrica.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca Virtual de Patrimonio Bibliográfico","no","N/A","http://bvpb.mcu.es/es/estaticos/contenido.cmd?pagina=estaticos%2Fpresentacion","N/A","Libro electrónico  , Base de Datos","Abierto","N/A","Otros","N/A","Español","CEH  , CELL","Artes  , Filosofía  , Historia  , Literatura  , Religión","N/A","España ; Bibliotecas digitales","“Proyecto cooperativo del Ministerio de Cultura y las Comunidades Autónomas cuyo objetivo es la difusión mediante facsímiles digitales de colecciones de manuscritos y libros impresos que forman parte del Patrimonio Histórico Español.” Entre las colecciones se encuentran las de  los monasterios de Santa María de Huerta, Santes Creus y Poblet, la colección Borbón-Lorenzana, colecciones de impresos antiguos de las Bibliotecas Públicas del Estado en León, Orihuela, Cádiz y Córdoba y las colecciones lulianas de la Biblioteca Pública del Estado en Palma de Mallorca. También fondos relativos a la Guerra de la Independencia o a la independencia de las repúblicas iberoamericanas procedentes, respectivamente, de la Biblioteca Central Militar y de la Biblioteca Hispánica de la AECID (Agencia Española de Cooperación Internacional para el Desarrollo).","N/A","2014-10-30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca Virtual de Prensa Histórica","no","N/A","http://prensahistorica.mcu.es/es/estaticos/contenido.cmd?pagina=estaticos/presentacion","N/A","Base de Datos","Abierto","N/A","Otros","N/A","Español","CEH","Historia","N/A","Periódicos ; Revistas ; España ; Bases de datos","Colección hemerográfica de publicaciones españolas en texto completo, procedentes de diversas instituciones científicas y culturales como: ateneos, fundaciones, universidades y empresas periodísticas. Cubren diversas temáticas y se incluyen publicaciones desde finales del siglo XVIII. Incluye buscador e índice cronológico.","N/A","2015-12-15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca Virtual en Salud México","no","N/A","http://bvs.insp.mx/php/index.php","N/A","Base de Datos","Abierto","N/A","Organización Mundial de la Salud","2014-00-00","Español","CEDUA","Estudios Urbanos   , Demografía","N/A","Salud Pública ;  Salud reproductiva ; Epidemiología ; Enfermedades ; México ; Estadísticas","El sitio organiza la información en: literatura científica, fuentes de información, temas sugeridos, acceso a documentos, directorios y portales, Biblioteca Digital en Sistemas de Información en Salud, documentos de interés y noticias. En su página principal tiene una barra que es un buscador que recupera los resultados de la búsqueda en varias bases de datos.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca Virtual Miguel de Cervantes","no","N/A","http://www.cervantesvirtual.com/index.jsp","N/A","Libro electrónico","Abierto","N/A","Otros","2014-00-00","Español","CEH","Historia","N/A","Bibliotecas digitales ; Hispanoamérica","Portal del proyecto digital Biblioteca Virtual Miguel de Cervantes, cuenta con una amplia gama de recursos digitalizados de diferentes bibliotecas y fondos, de España y América. Contiene principalmente obras de historia, literatura, lingüística, y documentos de archivo que enriquecen el idioma español y preservan la memoria de fondos importantes y antiguos disponibles para su consulta.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca Virtual. Antigua Escuela de Traductores de Toledo","no","N/A","http://www.larramendi.es/traductores_toledo/i18n/micrositios/inicio.cmd","N/A","Sitio Web","Abierto","N/A","Otros","2013-00-00","Español","CELL","Lingüística  , Traducción  , Literatura","N/A","Autores ; Traductores ; Traducción","Ofrece una selección de traductores y las obras traducidas. El recurso ofrece los siguientes apartados: traductores y comentaristas, autores traducidos, búsqueda de obras, obras y enlaces recomendados. Es posible acceder al texto completo de la obra. Proyecto colaborativo de la Fundación MAPFRE, Fundación Ignacio Larramendi y la Universidad de Castilla-La Mancha.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biblioteca Virtual. Biblioteca Luis Ángel Arango","no","N/A","http://www.banrepcultural.org/blaavirtual/indice","N/A","Libro electrónico","Abierto","N/A","Otros","N/A","Español","CES  , CELL  , CEI  , CEH  , CEE  , CEDUA","Sociología  , Medio Ambiente  , Literatura  , Lingüística  , Historia  , Filosofía  , Economía   , Ciencia Política","N/A","Biblioteca Luis Angel Arango ; Bibliotecas digitales","“Programa de la Biblioteca Luis Ángel Arango y de la Red de Bibliotecas del Banco de la República. Creada en 1996, esta biblioteca digital busca poner a disposición del público materiales, contenidos e información, en su mayoría sobre Colombia o de autores colombianos … . Contiene materiales en diferentes formatos, organizados en colecciones temáticas. En ella puede encontrar libros, imágenes, archivos sonoros y de video, páginas interactivas, exhibiciones en línea, proyectos temáticos, y materiales educativos.”","N/A","2014-10-30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Biodiversidad Mexicana","no","N/A","http://www.biodiversidad.gob.mx/pais/capitalNatMex.html","N/A","Sitio Web","Abierto","N/A","Otros","2012-00-00","Inglés  , Español","CEDUA","Medio Ambiente","N/A","Diversidad biológica ; México ; Comunidades bióticas","Portal de información sobre biodiversidad, ecosistemas, especies y genes que incluye conceptos, conocimiento, uso y bibliografía. También  contiene vídeos y mapas con datos de extensión, distribución y grado de deterioro.","N/A","2015-05-14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bienestar y política social = Well-being and social policy","no","N/A","http://bienestar.ciss.org.mx/index.php?mod=home_es","N/A","N/A","Abierto","N/A","Otros","2010-00-00","N/A","N/A","N/A","N/A","América Latina ; Política social ;  Política sanitaria ; Pensiones","Bienestar y Política Social es una revista conjunta de la Conferencia Interamericana de Seguridad Social (CISS) y la Universidad Iberoamericana (UIA), y es publicada en dos de los idiomas oficiales de la CISS, inglés y español.
Bienestar y Política Social está enfocada a académicos, estudiantes y también a los encargados de la elaboración de políticas públicas, quienes no necesariamente tienen que ser expertos en la materia. La revista pretende tener influencia en un amplio grupo de lectores, por ello los documentos incluidos aquí presentan un análisis profesional de los temas actuales de debate en política social y/o bienestar y son rigurosos desde el punto metodológico.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bobbio, Norberto, 1909-.   Diccionario de política","si","N/A","N/A","N/A","Obra de referencia","Abierto","N/A","Otros","N/A","Español","CEI","Ciencia Política","N/A","Ciencia política ; Obras de referencia","bajo la dirección de Norberto Bobbio, Nicola Matteucci y Gianfranco Pasquino ; redactores de la edición en español José Arico, Martí Soler y Jorge Tula ; traducción de Raúl Crisafio ... [et al.].  MéxicoSiglo Veintiuno1997 2 v. ; 24 cm.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Boletín Bibliográfico – Secretaría de Hacienda y Crédito Público (1954-1957)","no","N/A","http://codexvirtual.com/bmlt2/boletin-bibliografico/","N/A","N/A","Abierto","N/A","Otros","N/A","N/A","N/A","N/A","N/A","México ; Bibliografía ; Revistas","Publicación fundada con motivo de la 6ª Feria del Libro Mexicano, su primer número apareció el sábado 20 de noviembre de 1954 y en sus páginas se incluyen artículos, bibliografías y reseñas sobre diversos temas de la cultura mexicana.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Boomeran(g): Blog literario en español","no","N/A","http://www.elboomeran.com/","N/A","Blog","Abierto","N/A","Otros","N/A","Español","CELL","Literatura","N/A","Literatura","Ofrece blogs de autores, novedades de obras literarias, vídeos y audios. Además, ensayos, crónicas y diarios de notas.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Booms and busts : an encyclopedia of economic history from Tulipmania of the 1630s to the global financial crisis of the 21st century","si","N/A","N/A","N/A","Obra de referencia","Abierto","N/A","Otros","N/A","Inglés","CEE","Economía","N/A","Historia económica ; Obras de referencia","James Ciment, editor.  Armonk, N.Y.: Sharpe Reference, c2010.  3 v. ; 29 cm.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Border and Latin American Information","no","N/A","http://nmsu.libguides.com/border","N/A","N/A","Abierto","N/A","Otros","2014-00-00","N/A","N/A","N/A","N/A","América Latina ; Estudios latinoamericanos ; Bases de datos","Se trata de una guía de recursos sobre América Latina y la frontera México-Estados Unidos. Sobre el segundo asunto, incluye temas como: crimen y justicia, estudios fronterizos, recursos ambientales, migración y noticieros regionales. Registra bases de datos, bibliotecas y archivos, centros de investigación, fuentes oficiales y organismos nacionales e internacionales. Los recursos se presentan ordenados por categorías temáticas y tipo de material.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Brasiliana electrônica","no","N/A","http://www.brasiliana.com.br/brasiliana/colecao","N/A","Base de Datos","Abierto","N/A","Otros","2013-00-00","Portugués","CEH","Historia","N/A","Brasil ; Historia ; Publicaciones electrónicas","Colección de obras en texto completo sobre historia, antropología, ciencia política, geografía, sociología, lingüística, economía y ciencias naturales de Brasil. Además contiene información bibliográfica de autores nacionales y extranjeros que han estudiado en Brasil, incluyendo la contribución de los viajeros europeos que visitaron el país durante el siglo XIX.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Britannica : the online encyclopedia","no","N/A","http://www.britannica.com/?cameFromBol=true","N/A","Base de Datos  , Obra de referencia","Sólo comunidad Colmex","N/A","Otros","2014-00-00","Inglés","CEI  , CEH  , CEE  , CEDUA  , CEAA  , BIBLIOTECA  , CELL  , CES  , General","Estudios Urbanos   , Estudios de Género  , Economía   , Demografía    , Ciencia Política  , Bibliotecología  , Artes  , Administración Pública  , Filosofía  , General (todos los centros)  , Historia  , Lingüística  , Literatura  , Medio Ambiente  , Relaciones Internacionales  , Religión  , Sociología  , Traducción","N/A","Enciclopedias","Versión en línea de la Enciclopedia Británica, contiene miles de artículos e imágenes que abarcan todas las áreas del conocimiento.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"British Journal of Sociology","ambos","N/A","http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291468-4446","N/A","Publicación periódica","Sólo comunidad Colmex","N/A","Otros","2013-00-00","Inglés","CES","Sociología","N/A","Sociología","British Journal of Sociology is published on behalf of the London School of Economics and Political Science (LSE) is unique in the United Kingdom in its concentration on teaching and research across the full range of the social, political and economic sciences. Founded in 1895 by Beatrice and Sidney Webb, the LSE is one of the largest colleges within the University of London and has an outstanding reputation for academic excellence nationally and internationally. 
Impresa  1950 a 2011.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"British politics and society","no","N/A","http://gdc.galegroup.com/gdc/ncco/archive/actionWin?resetBreadCrumb=&query=&prodId=NCCO&windowstate=normal&contentModules=&display-query=&mode=view&limiter=&showDisambiguation=true&u=colmex&displayGroups=&p=NCCO&action=e&catId=MBNPFB048614652&scanId=","N/A","Base de Datos","Sólo comunidad Colmex","N/A","Otros","20141028","Inglés","CEH  , CEI","Historia  , Relaciones Internacionales","N/A","Gran Bretaña ; Historia ; Siglo XIX ; Fuentes ; Bases de datos en línea","Como su nombre lo indica, esta base de datos ofrece información en texto completo de las fuentes primarias que marcaron la historia del pensamiento político y social de la sociedad británica en el siglo XIX.","N/A","2014-10-28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Brookings papers on economic activity. Microeconomics","no","N/A","http://www.jstor.org/journals/10578641.html","N/A","N/A","Abierto","N/A","JSTOR","2009-00-00","N/A","N/A","N/A","N/A","Microeconomía ; Economía","Revista con contenidos especializados en microeconomía, con un enfoque social e internacional. Publica artículos de revisión en finanzas, emprendedurismo y otras materiales relacionadas a la micro empresa.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bulletin of asia pacific studies","si","N/A","N/A","N/A","N/A","Abierto","N/A","Otros","2009-00-00","N/A","N/A","N/A","N/A","Asia oriental ; Área del pacífico","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bulletin of Hispanic Studies","ambos","N/A","http://www.tandfonline.com/loi/cbhs20?open=72&repitition=0#vol_72","N/A","Publicación periódica","Sólo comunidad Colmex","N/A","Otros","2001-00-00","Inglés","CELL","Literatura","N/A","Estudios hispánicos ; España ; Historia","Disponible en formato impreso: 1923-2011","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bureau for Research and Economic Analysis of Development (BREAD). Policy Papers","no","N/A","http://ipl.econ.duke.edu/bread/","N/A","Base de Datos","Abierto","N/A","Otros","2008-00-00","Inglés","CEE","Economía","N/A","Economía ; Estadísticas ; Proyecciones económicas","Portal del Bureau for Research  and Economic Analysis  of Development el cual en conjunto con otras organizaciones internacionales dedicadas al estudio de la economía internacional concentran en su sitio documentos de investigación  en materia de economía para el desarrollo de economías emergentes.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bureau of economic analysis","no","N/A","http://www.bea.gov/index.htm","N/A","N/A","Abierto","N/A","Otros","20140000","N/A","N/A","N/A","N/A","Economía ; Estadísticas ; Proyecciones económicas","Recurso con información estadística sobre diversos indicadores económicos de Estados Unidos y los países con quien tiene relaciones de negocios, tratados comerciales y procesos de importación. Contiene perfiles por industria, datos numéricos por regiones en EUA y los países afiliados. Presenta la información en pdf y excell. También ofrece el servicio de noticias con base en diferentes temas relacionados con el crecimiento económico y la industria.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Brookings papers on economic activity","ambos","N/A","http://www.jstor.org/journals/00072303.html","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","2012-00-00","N/A","N/A","N/A","N/A","Economía ; Revistas","Contiene artículos, informes y aspectos más destacados de la discusión de las conferencias del Panel Brookings sobre la actividad económica. La experiencia del grupo se concentra en los temas |en vivo| de los resultados económicos que enfrenta el fabricante de la política pública y del poder ejecutivo en el sector privado. Se presta especial atención a los acontecimientos económicos recientes y actuales que son directamente relevantes a la escena contemporánea o especialmente difícil, ya que se extienden nuestra comprensión de la teoría económica o hallazgos empíricos previos. Los artículos y los informes, el razonamiento y las conclusiones se desarrollan en una forma inteligible, no especializada así como útiles para el experto en macroeconomía. En resumen, los documentos apuntan a varios objetivos: análisis profesional meticuloso e incisivo , oportunidad y relevancia a los problemas actuales , y la presentación lúcida .
En Jstor 1970-2012.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bulletin of the German Historical Institute","no","N/A","http://www.ghi-dc.org/publications/ghi-bulletin.html?L=0","N/A","Publicación periódica","Abierto","N/A","Otros","2016","Inglés","CEI","Relaciones Internacionales  , Ciencia Política","N/A","German Historical Institute -- Publicaciones periódicas; Alemania -- Historia -- Publicaciones periódicas; Europa -- Historia -- Publicaciones periódicas; América -- Historia -- Publicaciones periódicas","|The German Historical Institute's work is at the forefront of international historical and interdisciplinary research and covers a broad geographic, methodological, and thematic spectrum. The GHI's research agenda is international and includes German, European, and American history as well as comparative and transnational history. The Institute's research projects also represent the remarkable diversity of approaches that has come to characterize the field of history in recent decades - including political, economic, social, cultural, gender, religious, environmental, and legal history. Current foci of GHI research include the history of knowledge, digital history, as well as the subject areas |religion and ethnicity| and |space and boundaries.|..|","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Business Abstracts with Full Text","no","N/A","http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=bft","N/A","Base de Datos","Sólo comunidad Colmex","N/A","Ebscohost","2014-00-00","Inglés","CEE","Economía","N/A","Economía ; Comercio; Empresas; Bases de datos","Business Source Complete contiene la principal colección de textos completos y registros bibliográficos de publicaciones académicas sobre temas empresariales. Cubre ampliamente numerosos temas, e incluye los resúmenes e índices de las principales publicaciones académicas sobre negocios que se remontan a 1886. Además, permite buscar referencias citadas de más de 1.300 revistas especializadas.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Business source complete","no","N/A","http://search.ebscohost.com/login.aspx?authtype=ip&profile=ehost&defaultdb=bth","N/A","Publicación periódica","Sólo comunidad Colmex","N/A","Otros","2014-00-00","Inglés","CEE","Economía","N/A","Economía ; Revistas","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cahiers d'études africaines","no","N/A","http://www.jstor.org/action/showPublication?journalCode=cahietudafri","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","2008-00-00","N/A","N/A","N/A","N/A","África ; Historia ; Antropología","Creado en 1960, Cahiers d'Études Africaines publica artículos que reflejan las nuevas tendencias de la investigación teórica y de campo, y los debates que generan. La revista promueve un enfoque antropológico e histórico de África, el Caribe y las Américas, en todas sus extensiones.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cahiers de Lexicologie","si","N/A","N/A","N/A","N/A","Abierto","N/A","Otros","2013-00-00","N/A","N/A","N/A","N/A","Lexicología ; Lexicografía","Disponible en formato impreso: 1959-2013","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
