Título,Recurso físicamente en la Biblioteca,Recurso desarrollado por el COLMEX,Acceso(URL),Tipo de Información que contiene,Tipo de Recurso,Tipo de Acceso,Título alterno,Autor/Productor,Fecha de última actualización,Idioma,Recurso de interés para,Área Temática COLMEX,Área Geográfica seleccionadas,Temas,Descripción/Notas,Contiene recursos en texto completo,Fecha de consulta,Fecha de captura,Clasificación Dewey en BDCV,Recurso en Guías por Tema y Área,Guías donde se destaca,Agregado por,Archivo(URL),Cobertura,CID
"The review of economics and statistics","ambos","N/A","http://ejournals.ebsco.com/direct.asp?JournalID=101819","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Economía política ; Estadísticas ; Revistas","Disponible en formato impreso: 1944-1999 (con algunos faltantes)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Review of Korean Studies","ambos","N/A","http://book.aks.ac.kr/sub02_6_1.asp?menu=2&smenu=6&stype=3","N/A","N/A","Parcialmente Abierto","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Corea ; Estudio y enseñanza ; Revistas","Disponible en formato impreso: 1999-2012 (con algunos faltantes)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Romanic Review","ambos","N/A","http://eds.b.ebscohost.com/ehost/command/detail?sid=c97085d1-15a4-4bd6-ba94-f2a2be1f9a40%40sessionmgr111&vid=0&hid=113&bdata=Jmxhbmc9ZXMmc2l0ZT1laG9zdC1saXZlJnNjb3BlPXNpdGU%3d#db=a9h&jid=ROR","N/A","Publicación periódica","Sólo comunidad Colmex","N/A","Columbia University","N/A","Inglés","CELL","Literatura","N/A","Literatura románica ; Lenguas romances","Disponible en formato impreso: 1947-1981","N/A","2014-11-11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Second Vatican Ecumenical Council","no","N/A","http://www.christusrex.org/www1/CDHN/v1.html","N/A","Libro electrónico","Abierto","N/A","Otros","N/A","Inglés","CES","Religión","N/A","Concilio vaticano ; Iglesia católica","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Sixteenth Century Journal","ambos","N/A","http://www.jstor.org/action/showPublication?journalCode=sixtcentj","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","","N/A","N/A","N/A","N/A","Historia moderna ; Siglo XVI ; Revistas","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Sor Juana Ines de la Cruz Project","no","N/A","http://www.dartmouth.edu/~sorjuana/","N/A","Sitio Web","Falta determinar","N/A","Otros","N/A","Falta Determinar","CEH  , CELL  , PIEM","Estudios de Género  , Filosofía  , Literatura  , Sociología","N/A","N/A","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Sounds of Spanish","no","N/A","http://dialectos.osu.edu/search/default.cfm","N/A","Sitio Web","Abierto","N/A","Otros","N/A","Español  , Inglés","CELL","Lingüística","N/A","Fonética","Creado por Terrell A. Morgan de la The Ohio State University. Se puede hacer búsquedas por: país, característica lingüística, tópico e idioma indígena.","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Theory of Moral Sentiments","no","N/A","http://www.earlymoderntexts.com/pdfs/smith1759.pdf","N/A","Libro electrónico","Abierto","N/A","Otros","N/A","Inglés","General","General (todos los centros)","N/A","Ética","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Times Literary Supplement","ambos","N/A","http://entertainment.timesonline.co.uk/tol/arts_and_entertainment/the_tls/","N/A","N/A","Sólo comunidad Colmex","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Libros y lectura ; Literatura ; Reseñas ; Revistas","Disponible en formato impreso: 1972-2014 (con algunos faltantes)","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"The Trustees of Princeton University. Basic Reference Works for Korean Studies","no","N/A","http://eastasianlib.princeton.edu/sgundkor.htm","N/A","N/A","Abierto","N/A","Otros","N/A","N/A","N/A","N/A","N/A","Corea ; Asia ; Estudio y enseñanza","N/A","N/A","0000-00-00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
