"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Etudes de Linguistique Appliquée","Cerrado","Parcial","Revistas","DEM/408.3/E85 Más información"
"Excélsior","Abierto","Parcial","Periódicos","Más información"
"Federico García Lorca","Abierto","Referencia","Imágenes  , Bibliografía","Más información"
"Folia Lingüística","Cerrado","Parcial","Revistas","405/F665 Más información"
"Fono.Ele","Cerrado","Parcial","Corpus","Más información"
"Ford Foundation, The","Abierto","No Aplica","Financiamiento & Becas","Más información"
"Fuente académica","Cerrado","Completo","Revistas","Más información"
"Fuentes de información en ciencias sociales y humanidades","Abierto","Completo","Guías  , Bibliografía","REF/016.3/G2455f Más información"
"Fundación María Zambrano","Abierto","Referencia","Bibliografía  , Biografías  , Imágenes","Más información"
"Gabriela Mistral","Abierto","Referencia","Bibliografía  , Biografías  , Imágenes","Más información"
"Glosario electrónico de términos lingüísticos","Abierto","Referencia","Diccionarios","Más información"
"Grabaciones mexicanas José Guadalupe Posada (1854-1913)","Abierto","Completo","Libros Electrónicos","Más información"
"Hemeroteca Digital de la Biblioteca Nacional de España","Cerrado","Parcial","Biblioteca Digital","Más información"
"Hemeroteca Nacional de México","Abierto","Referencia","Revistas  , Periódicos  , Catálogos de Bibliote...","Más información"
"HighWire press","Abierto","Parcial","Revistas  , Reseñas  , Artículos de Revistas","Más información"
"Hispanic Journal","Abierto","Referencia","Revistas","860.5/H673 Más información"
"Hispanic Reading Room","Abierto","Referencia","Catálogos de Bibliotecas  , Bibliografía","Más información"
"Hispanic Review","Abierto","Parcial","Artículos de Revistas  , Reseñas","Más información"
"Hispanófila","Cerrado","Completo","Artículos de Revistas  , Reseñas","Más información"
"Historia de la traducción en América Latina","Abierto","Referencia","Bibliografía","Más información"
"HLAS Handbook of Latin American Studies Online","Abierto","Referencia","Bibliografía","Más información"
"Humanities Text Initiative","Abierto","Completo","Biblioteca Digital","Más información"
"Idiomas en peligro de extinción","Abierto","Referencia","Mapas  , Audio","Más información"
"Illustrated Quixote. Brown Digital Repository","Abierto","Completo","Biblioteca Digital  , Imágenes","Más información"
"Impresos americanos del Siglo  XVI en las bibliotecas del mundo","Abierto","Completo","Biblioteca Digital","Más información"
"Instituto Lingüístico de Verano (ILV) en México","Cerrado","Parcial","Guías","Más información"
"Insula: Revista de Letras y Ciencias humanas","Cerrado","Completo","Revistas","H860.5/H673 Más información"
"Inter Classica","Abierto","Referencia","Bibliografía","Más información"
"International Journal of American Linguistics","Cerrado","Parcial","Revistas","497.05/In61 Más información"
"International Journal of Lexicography","Cerrado","Completo","Revistas","DEM/413.05/In614 Más información"
"International Journal of the Sociology of Language","Cerrado","Parcial","Revistas","401.05/In61 Más información"
"Intertexts","Abierto","Parcial","Revistas","809.05/In61 Más información"
"Intute Linguistics","Abierto","Parcial","Guías","Más información"
"John Simon Guggenheim Memorial Foundation","Abierto","Referencia","Financiamiento & Becas","Más información"
"Journal of American folklore","Cerrado","Parcial","Revistas","398.05/J86 Más información"
"Journal of Child Language","Cerrado","Completo","Revistas","401.905/J86 Más información"
"Journal of Iberian and Latin American Studies","Cerrado","Completo","Revistas","980.005/J863 Más información"
"Journal of Linguistics","Cerrado","Parcial","Revistas","405/J86 Más información"
"Journal of Multilingual and Multicultural Development","Cerrado","Parcial","Revistas","405/J861 Más información"
"Journal of Phonetics","Cerrado","Completo","Revistas","414.05/J86 Más información"
"Journal of Pragmatics","Cerrado","Parcial","Revistas","410.5/J866 Más información"
"Journal of Psycholinguistic Research","Cerrado","Parcial","Revistas","(401 / J86) Más información"
"Journal of Semantics","Cerrado","Parcial","Revistas","415/J86 Más información"
"Journal of Sociolinguistics","Cerrado","Parcial","Revistas","401.05/J86 Más información"
"La lengua española en Chile","Abierto","Parcial","Bibliografía  , Imágenes  , Libros Electrónicos","Más información"
"La Linguistique","Cerrado","Completo","Revistas","405/L775 Más información"
"Laboratorio de Estudios Fónicos (LEF)","Abierto","Parcial","Bibliografía  , Audio","Más información"
"Laboratory Phonology","Cerrado","Referencia","Revistas","Más información"
"Langage et Société","Cerrado","Completo","Revistas","401.05/L271 Más información"
"Langages","Cerrado","Completo","Revistas","405/L269 Más información"
"Language","Cerrado","Completo","Reseñas  , Revistas","405/L287 Más información"
"Language and Literature Journal of the Poetics and Linguistics Association","Cerrado","Referencia","Revistas","808.05/L287 Más información"
"Language in Society","Cerrado","Parcial","Revistas","401.05/L287 Más información"
"Language Sciences","Cerrado","Parcial","Revistas","405/L2871 Más información"
"Language Variation and Change","Cerrado","Parcial","Revistas","401/L2878 Más información"
"LANIC: Literatura","Abierto","Parcial","Guías","Más información"
"Las vanguardias literarias del Siglo XX","Abierto","Referencia","Bibliografía","Más información"
"Latin American Music Review","Cerrado","Parcial","Revistas","780.9805/R454 Más información"
"Latindex  Sistema Regional de Información en Línea para Revistas Científicas de América Latina, el Caribe, España y Portugal","Abierto","Parcial","Revistas","Más información"
"Le Monde","Abierto","Parcial","Periódicos","Más información"
"Lebende Sprachen","Cerrado","Parcial","Revistas","405/L442 Más información"
"Les Lettres Francaises","Abierto","Completo","Revistas  , Reseñas","Más información"
"Letras mexicanas","Abierto","Parcial","Imágenes  , Fotografías  , Biblioteca Digital","Más información"
"Léxico hispanoamericano","Abierto","Referencia","Corpus  , Diccionarios","MT/463.109031 B7891l Más información"
"Lexicon of Linguistics","Abierto","Referencia","Documentos de Trabajo","Más información"
"Lexis","Abierto","Completo","Revistas  , Artículos de Revistas","Más información"
"Library of Congress","Abierto","Parcial","Audio  , Bibliografía  , Biblioteca Digital  , D...","Más información"
"Libros de Caballería","Abierto","Completo","Biblioteca Digital","Más información"
"Librunam","Abierto","Referencia","Catálogos de Bibliotecas","Más información"
"LibWeb: library servers via WWW","Abierto","No Aplica","Bibliotecas","Más información"
"Lienzo","Abierto","Completo","Revistas  , Artículos de Revistas","Más información"
"LINGMEX. Bibliografía Lingüística de México desde 1970","Abierto","Referencia","Bibliografía","Más información"
"Lingua","Cerrado","Parcial","Revistas","405/L7553 Más información"
"Linguistic Inquiry","Cerrado","Completo","Revistas","405/L7554 Más información"
"Linguistics an Interdisciplinary Journal of the Language Sciences","Cerrado","Completo","Revistas","405/L754 Más información"
"Linguistics and Language Behaviour Abstracts","Cerrado","Referencia","Revistas  , Reseñas","RE/016.41 Más información"
"Linguistics and Philosophy","Cerrado","Referencia","Revistas","405/L7551 Más información"
"Literary & Linguistic Computing Journal of the Association for Literary and Linguistic Computing","Cerrado","Completo","Revistas","410.183/L776 Más información"
"Literatura & Traducción","Abierto","Referencia","Bibliografía","Más información"
"Literatura infantil y juvenil: Guía de recursos bibliográficos","Abierto","Referencia","Bibliografía","Más información"
"Litterature","Cerrado","Completo","Revistas","805/L777 Más información"
"Los libros de Cortázar","Abierto","Parcial","Bibliografía  , Biografías","Más información"
"María Moliner, en el centenario de su nacimiento","Abierto","Referencia","Biografías  , Bibliografía","Más información"
"Mediateca Digital COLMEX","Abierto","No Aplica","Videos  , Audio","Más información"
"Mediatico.com","Abierto","Parcial","Periódicos","Más información"
"Medievalia","Cerrado","Parcial","Revistas","940.105 M489 Más información"
"Meta","Cerrado","Completo","Revistas","410.151/M587 Más información"
"Metabase  Bibliografía en red","Abierto","Referencia","Revistas","RE/016.9728 Más información"
"México desconocido","Cerrado","Parcial","Revistas","DEM/917.2005/M6112 Más información"
"Microsoft Academic Search","Abierto","Parcial","Revistas  , Falta determinar  , Artículos de Rev...","Más información"
"Milenio","Abierto","Parcial","Periódicos","Más información"
"MIT OpenCourseWare","Abierto","No Aplica","Falta determinar","Más información"
"MLA Directory of Periodicals","Cerrado","Referencia","Directorios  , Revistas","Más información"
"MLA International Bibliography","Cerrado","Referencia","Bibliografía","Más información"
"Modern Language Notes","Cerrado","Completo","Revistas","405/M6895 Más información"
"Modern Language Quarterly","Cerrado","Completo","Revistas","405/M6894 Más información"
"Morfolex. Estudio de la morfología y el léxico del español","Abierto","Referencia","Documentos de Trabajo","Más información"
"Multilingua","Cerrado","Parcial","Revistas","405/M961 Más información"
"Natural Language & Linguistic Theory","Cerrado","Parcial","Revistas","405/N285 Más información"
"Natural Language Semantics","Cerrado","Completo","Revistas","Más información"
"Neophilologus","Cerrado","Completo","Artículos de Revistas","Más información"
"New Literary History","Cerrado","Referencia","Revistas","Más información"
"New York Times, The","Abierto","Parcial","Periódicos","Más información"
"Nexos","Abierto","Completo","Revistas","FOL/917.2/N567 Más información"
"Nineteenth Century Collections Online","Cerrado","Completo","Periódicos  , Imágenes  , Fotografías  , Artí...","Más información"
"Nineteenth Century Collections Online: European Literature, 1790-1840: The Corvey Collection","Cerrado","Completo","Artículos de Revistas  , Fotografías  , Fuentes...","Más información"
"Novela española contemporánea","Cerrado","Parcial","Bibliografía","Más información"
"Novela hispanoamericana del siglo XIX. Fondo Benito Varela Jácome","Abierto","Completo","Bibliografía  , Libros Electrónicos","Más información"
"Novela histórica: Guía de recursos bibliográficos","Abierto","Referencia","Bibliografía","Más información"
"Nuevo diccionario histórico","Abierto","Referencia","Corpus  , Diccionarios","Más información"
"Nuevo Tesoro Lexicográfico de la Lengua Española","Abierto","Referencia","Diccionarios","Más información"
"NYPL Digital Gallery","Cerrado","Parcial","Videos  , Imágenes  , Fotografías","Más información"
"OAIster","Cerrado","Completo","Biblioteca Digital","Más información"
"OAPEN","Abierto","Completo","Libros Electrónicos  , Biblioteca Digital","Más información"
"OASIS.Br","Abierto","Parcial","Revistas  , Artículos de Revistas","RE/016.05 Más información"
"Observatorio de la lengua española  y las culturas hispánicas en los Estados Unidos","Abierto","Referencia","Centro de Investigación","Más información"
"OCLC FirstSearch","Cerrado","Parcial","Revistas","Más información"
"Online Text Collections in Western European Literature","Cerrado","Completo","Biblioteca Digital","Más información"
"Oralia análisis del discurso oral","Abierto","Referencia","Revistas","301.243058/Or634 Más información"
"OSU Dissertations in Linguistics","Cerrado","Parcial","Bibliografía  , Resúmenes","Más información"
"Out of the Wings","Abierto","Referencia","Bibliografía","Más información"
"Oxford Bibliographies","Cerrado","Referencia","Bibliografía","RE/025.063016  Más información"
"Oxford Bibliographies. Linguistics","Cerrado","Referencia","Bibliografía","Más información"
"Oxford Handbooks Online","Cerrado","Parcial","Libros Electrónicos","Más información"
"Oxford Handbooks Online: Linguistics","Cerrado","Parcial","Libros Electrónicos","Más información"
"Oxford Journals","Cerrado","Completo","Revistas","Más información"
"Palabra virtual. Voz y video en la poesía iberoamericana","Abierto","Referencia","Videos  , Audio","Más información"
"Patrologia Latina","Cerrado","Completo","Bibliografía","Más información"
"Periódica  Índice de revistas latinoamericanas en ciencias","Abierto","Referencia","Revistas","IND/016.5/P445 Más información"
"Periódicos de América Latina","Abierto","Completo","Periódicos","Más información"
"Persée","Abierto","Completo","Documentos de Trabajo  , Artículos de Revistas","Más información"
"Philosophy & Rhetoric","Cerrado","Completo","Revistas","105/P5687 Más información"
"Phonology","Cerrado","Parcial","Revistas","414/P574 Más información"
"Poetics","Cerrado","Parcial","Revistas","801.05/P7453 Más información"
"Poetique","Abierto","No Aplica","Revistas","801.05/P74 Más información"
"Popol Vuh","Abierto","Completo","Libros Electrónicos","Más información"
"Portal de Hispanismo","Abierto","Referencia","Directorios","Más información"
"Portal de la Traducción  Ibérica y Americana","Abierto","Referencia","Bibliografía","Más información"
"Proyecto Cervantes","Abierto","Referencia","Imágenes  , Biblioteca Digital  , Revistas  , Bi...","Más información"
"Proyecto para el Estudio Sociolingüístico del Español de España y de América","Abierto","Referencia","Corpus","Más información"
"Quijotes: Recopilación de las ediciones del Quijote de la Biblioteca Nacional de España","Abierto","Parcial","Libros Electrónicos","Más información"
"Red de bibliotecas virtuales de ciencias sociales de América Latina y el Caribe (CLACSO)","Abierto","Completo","Biblioteca Digital","Más información"
"Redalyc  Red de revistas científicas de América Latina, el Caribe, España y Portugal","Abierto","Parcial","Revistas","Más información"
"Reforma","Abierto","Parcial","Periódicos","Más información"
"Renaisance Forum","Abierto","Completo","Revistas","Más información"
"Renaissance Quarterly","Cerrado","Parcial","Revistas","914.021/R393 Más información"
"Research online","Abierto","Completo","Recursos Archivísticos  , Imágenes  , Documento...","Más información"
"Revista de Poética Medieval","Abierto","Completo","Artículos de Revistas  , Reseñas","861.109/R4546 Más información"
"Revistas culturales 2.0","Abierto","Parcial","Revistas","Más información"
"Revistas culturales de América Latina","Abierto","Completo","Artículos de Revistas  , Revistas","Más información"
"Revistas de El Colegio de México","Cerrado","Completo","Revistas","Más información"
"Revistas de la Edad de Plata","Abierto","Referencia","Revistas","Más información"
"Revistas de la Literatura Femenina del Siglo XIX Mexicano","Abierto","Completo","Revistas","Más información"
"Revistas de lingüística y filología","Abierto","Referencia","Revistas","Más información"
"Revistas electrónicas de IES mexicanas","Abierto","Falta determinar","Biblioteca Digital","Más información"
"Revistas literarias","Abierto","Completo","Revistas","Más información"
"Revue de littérature comparée","Cerrado","Completo","Revistas","809.05/R454 Más información"
"Revue Romane","Cerrado","Completo","Revistas","879.905/R454 Más información"
"Rivista di Linguistica","Abierto","Completo","Revistas","405/R625 Más información"
"Romance Quaterly","Cerrado","Parcial","Revistas","805/K37 Más información"
"Romancero Pan-Hispánico","Abierto","Referencia","Bibliografía","Más información"
"Romanische Forschungen","Cerrado","Parcial","Revistas","879.905/R7582 Más información"
"Sage Research Methods Online (SRMO)","Cerrado","Parcial","Documentos de Trabajo  , Artículos de Revistas","Más información"
"ScandoSlavica","Cerrado","Parcial","Revistas","Más información"
"SciELO  Scientific electronic library online","Cerrado","Parcial","Revistas","Más información"
"ScienceDirect","Cerrado","Parcial","Revistas","Más información"
"Scopus","Cerrado","Referencia","Bibliografía","Más información"
"Semantics and Linguistic Theory","Abierto","Completo","Revistas  , Artículos de Revistas","460.5/H673r Más información"
"Semiotica","Cerrado","Parcial","Revistas","Más información"
"SERIUNAM","Abierto","Referencia","Revistas","Más información"
"SIGLEX, a Special Interest Group on the Lexicon","Abierto","Referencia","Corpus","Más información"
"Social Sciences Full Text (H.W. Wilson)","Cerrado","Parcial","Revistas","Más información"
"Social services abstracts","Cerrado","Parcial","Revistas","RE/016.361 Más información"
"Sor Juana Inés de la Cruz Project","Abierto","Parcial","Bibliografía","Más información"
"Spanish Drama","Abierto","Completo","Libros Electrónicos","Más información"
"Spanish in Context","Cerrado","Parcial","Revistas","461.05/S7355 Más información"
"Speculum a journal of medieval studies","Cerrado","Completo","Revistas","901.9205/S741 Más información"
"Springer eBooks (Recurso contratado por CONRICyT)","Cerrado","Completo","Libros Electrónicos","Más información"
"Springer Link","Cerrado","Completo","Libros Electrónicos  , Revistas","Más información"
"SpringerLink journals (Recurso contratado por CONRICyT)","Cerrado","Completo","Revistas","Más información"
"SpringerLink: Linguistics","Cerrado","Parcial","Artículos de Revistas  , Libros Electrónicos  ,...","Más información"
"Syntax","Cerrado","Parcial","Revistas","Más información"
"Syntax a Journal of Theorical, Experimental, and Interdisciplinary Research","Cerrado","Completo","Revistas","415.05/S978 Más información"
"Syntax and semantics","Cerrado","Completo","Revistas","410.5/S993 Más información"
"Synthese","Cerrado","Completo","Revistas","Más información"
"Tablas de contenido y revistas en texto completo","Cerrado","Parcial","Revistas","Más información"
"Target International Journal of Translation Studies","Cerrado","Parcial","Revistas","418.151/T185 Más información"
"Taylor & Francis (Recurso contratado por CONRICyT)","Cerrado","Completo","Revistas","Más información"
