"Recurso","Acceso","Texto Completo","Tipo de Recurso","Clasificación/Más información"
"Redalyc  Red de revistas científicas de América Latina, el Caribe, España y Portugal","Abierto","Parcial","Revistas","Más información"
"Reforma","Abierto","Parcial","Periódicos","Más información"
"Research online","Abierto","Completo","Recursos Archivísticos  , Imágenes  , Documento...","Más información"
"Review of International Studies","Abierto","Parcial","Revistas","327.05/R4545 Más información"
"Revista COFACTOR","Abierto","Completo","Revistas","Más información"
"Revista de Administración Pública. Instituto Nacional de Administración Pública, A.C.","Abierto","Completo","Revistas","Más información"
"Revistas de El Colegio de México","Cerrado","Completo","Revistas","Más información"
"Sage Research Methods Online (SRMO)","Cerrado","Parcial","Documentos de Trabajo  , Artículos de Revistas","Más información"
"SciELO  Scientific electronic library online","Cerrado","Parcial","Revistas","Más información"
"ScienceDirect","Cerrado","Parcial","Revistas","Más información"
"Scopus","Cerrado","Referencia","Bibliografía","Más información"
"Sistema de Consulta de la Estadística de las Elecciones Federales 2011-2012","Abierto","Referencia","Publicaciones Oficiales  , Estadísticas","Más información"
"Social Sciences Full Text (H.W. Wilson)","Cerrado","Parcial","Revistas","Más información"
"Social services abstracts","Cerrado","Parcial","Revistas","RE/016.361 Más información"
"SourceOECD","Abierto","Parcial","Revistas  , Libros Electrónicos","Más información"
"Springer eBooks (Recurso contratado por CONRICyT)","Cerrado","Completo","Libros Electrónicos","Más información"
"Springer Link","Cerrado","Completo","Libros Electrónicos  , Revistas","Más información"
"SpringerLink journals (Recurso contratado por CONRICyT)","Cerrado","Completo","Revistas","Más información"
"Tablas de contenido y revistas en texto completo","Cerrado","Parcial","Revistas","Más información"
"Taylor & Francis (Recurso contratado por CONRICyT)","Cerrado","Completo","Revistas","Más información"
"Tesauro del UNBIS","Abierto","Completo","Corpus","Más información"
"Tesis COLMEX","Abierto","Completo","Biblioteca Digital","Más información"
"Tesis Digitales Universidad Iberoamericana","Abierto","Completo","Biblioteca Digital  , Catálogos de Bibliotecas","Más información"
"The Online Books Page","Cerrado","Parcial","Biblioteca Digital","Más información"
"The public administration dictionary","Cerrado","No Aplica","Libros Electrónicos","350.3/Ch456p/1988 Más información"
"Third World Quarterly","Cerrado","Completo","Revistas","338.905/T445 Más información"
"U.S. Census Bureau","Abierto","Parcial","Publicaciones Oficiales  , Estadísticas","Más información"
"UNdata","Abierto","Completo","Información Geográfica  , Estadísticas","Más información"
"Universal library","Abierto","Completo","Biblioteca Digital","Más información"
"University of Pittsburgh Press Digital Editions","Abierto","Completo","Biblioteca Digital","Más información"
"Washington Post, The","Abierto","Parcial","Periódicos","Más información"
"Web of science","Cerrado","Referencia","Revistas  , Reseñas","Más información"
"West European Politics","Cerrado","Completo","Revistas","320.94/W517 Más información"
"Wiley InterScience","Cerrado","Completo","Revistas  , Reseñas","Más información"
"Wiley Online Library","Cerrado","Completo","Reseñas","Más información"
"William T Grant Foundation","Cerrado","Parcial","Financiamiento & Becas  , Software  , Reportes T�...","Más información"
"Wobbing Europe","Abierto","Parcial","Videos  , Fuentes Primarias","Más información"
"World Bank","Abierto","Parcial","Publicaciones Oficiales  , Estadísticas  , Docum...","Más información"
"World Politics","Abierto","Completo","Revistas","909.82/W9276 Más información"
"Worldcat","Cerrado","Parcial","Catálogos de Bibliotecas","Más información"
